term,event,category,raw_date,date,end_date
Summer B 2026,Commencement (Dates of graduate and professional school commencements can vary. Please refer to the official schedules. Dates/times of all ceremonies will be posted when officially scheduled.),Commencement,"August 7, 8",2026-08-07,2026-08-08
Summer C 2026,Commencement (Dates of graduate and professional school commencements can vary. Please refer to the official schedules. Dates/times of all ceremonies will be posted when officially scheduled.),Commencement,August 7 - 8,2026-08-07,2026-08-08
Fall 2026,Commencement (Dates of graduate and professional school commencements can vary. Please refer to the official schedules. Dates/times of all ceremonies will be posted when officially scheduled.),Commencement,December 11 - 12,2026-12-11,2026-12-12
Spring 2027,Commencement (Dates of graduate and professional school commencements can vary. Please refer to the official schedules. Dates/times of all ceremonies will be posted when officially scheduled.),Commencement,"April 30, May 1, 2",2027-04-30,2027-05-02
Summer B 2027,Commencement (Dates of graduate and professional school commencements can vary. Please refer to the official schedules. Dates/times of all ceremonies will be posted when officially scheduled.),Commencement,"August 6, 7",2027-08-06,2027-08-07
Summer C 2027,Commencement (Dates of graduate and professional school commencements can vary. Please refer to the official schedules. Dates/times of all ceremonies will be posted when officially scheduled.),Commencement,August 6 - 7,2027-08-06,2027-08-07
Fall 2027,Commencement (Dates of graduate and professional school commencements can vary. Please refer to the official schedules. Dates/times of all ceremonies will be posted when officially scheduled.),Commencement,December 10 - 11,2027-12-10,2027-12-11
Spring 2028,Commencement (Dates of graduate and professional school commencements can vary. Please refer to the official schedules. Dates/times of all ceremonies will be posted when officially scheduled.),Commencement,"April 28, 29, 30",2028-04-28,2028-04-30
Summer C 2028,Commencement (Dates of graduate and professional school commencements can vary. Please refer to the official schedules. Dates/times of all ceremonies will be posted when officially scheduled.),Commencement,August 4 - 5,2028-08-04,2028-08-05
